Artist,Track,Album,Album_type,Stream,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Liveness,Valence,Tempo,Tempo_category,Duration_ms,Views,Likes,Comments,Licensed,official_video
Tom Odell,Another Love - Tiësto Remix,Another Love (Tiësto Remix),single,38610617.0,0.79,0.764,E,-4.685,0.0737,0.0836,0.132,0.473,123.046,Allegro,185366.0,2182622.0,31415.0,416.0,False,True
Tom Odell,Heal,Long Way Down (Deluxe),album,253098407.0,0.445,0.179,C# / Db,-12.938,0.0396,0.952,0.107,0.119,72.246,Adagio,193080.0,1195717.0,29241.0,457.0,True,True
Tom Odell,Best Day Of My Life,Best Day of My Life,album,24166102.0,0.687,0.187,G,-13.185,0.0344,0.983,0.107,0.105,117.848,Moderato / Allegretto,146896.0,933104.0,31447.0,990.0,False,True
Tom Odell,Butterflies (feat. AURORA),Butterflies (feat. AURORA),single,1457330.0,0.326,0.157,E,-16.287,0.0415,0.971,0.191,0.3,178.711,Presto,130667.0,93331.0,8615.0,395.0,True,True
Tom Odell,Another Love - Zwette Edit,Another Love (Zwette Edit),single,182689217.0,0.87,0.554,E,-5.828,0.0635,0.0802,0.115,0.462,123.998,Allegro,394573.0,588502182.0,1903401.0,30457.0,True,True
Tom Odell,Flying :)),Best Day of My Life,album,10819047.0,0.515,0.147,F# / Gb,-15.054,0.0316,0.965,0.112,0.3,133.402,Allegro,179158.0,696553.0,24559.0,619.0,True,True
Tom Odell,True Colours,True Colours,single,65505162.0,0.518,0.126,A# / Bb,-12.102,0.0431,0.942,0.105,0.166,75.991,Adagio,143707.0,5630574.0,76008.0,1133.0,True,True
Tom Odell,Can't Pretend,Long Way Down (Deluxe),album,71808058.0,0.468,0.473,C# / Db,-8.503,0.0281,0.278,0.117,0.286,79.055,Andante,217840.0,30490640.0,357875.0,8867.0,False,True
Tom Odell,Smiling All The Way Back Home,Best Day of My Life,album,6819419.0,0.616,0.273,F,-12.47,0.0307,0.96,0.165,0.314,128.04,Allegro,182029.0,411912.0,14924.0,328.0,True,True
Mitski,Washing Machine Heart,Be the Cowboy,album,412897582.0,0.613,0.822,A,-4.087,0.026,0.0092,0.429,0.567,105.997,Andante,128199.0,55301415.0,1145971.0,18225.0,True,True
Mitski,First Love/Late Spring,Bury Me At Makeout Creek,album,217858017.0,0.445,0.543,C,-8.196,0.0272,0.000825,0.202,0.102,99.963,Andante,278640.0,3776.0,419.0,30.0,False,False
Mitski,Nobody,Be the Cowboy,album,279179207.0,0.398,0.717,C,-5.253,0.0398,0.07,0.085,0.487,117.296,Moderato / Allegretto,193429.0,45638331.0,986432.0,22551.0,True,True
Mitski,Francis Forever,Bury Me At Makeout Creek,album,155386318.0,0.535,0.448,D,-9.167,0.0279,0.00262,0.115,0.32,101.986,Andante,149680.0,17555053.0,289882.0,1451.0,True,True
Mitski,Me and My Husband,Be the Cowboy,album,208600500.0,0.497,0.638,C# / Db,-5.31,0.0274,0.0467,0.385,0.77,172.01,Vivace,137142.0,9928816.0,161409.0,3234.0,True,True
Mitski,I Bet on Losing Dogs,Puberty 2,album,143483640.0,0.398,0.493,A,-9.561,0.0303,0.00347,0.106,0.412,82.048,Andante,170240.0,3095632.0,97910.0,2915.0,False,False
Mitski,Liquid Smooth,Lush,album,79480543.0,0.424,0.342,G,-9.469,0.0339,0.838,0.136,0.124,76.235,Adagio,169773.0,9355778.0,176252.0,2537.0,False,False
Mitski,A Pearl,Be the Cowboy,album,107043141.0,0.295,0.637,G# / Ab,-4.043,0.0288,0.0496,0.112,0.221,84.551,Andante,156146.0,9191961.0,240592.0,4316.0,False,False
Mitski,I Want You,"Retired from Sad, New Career in Business",album,80878055.0,0.339,0.292,D# / Eb,-11.294,0.0348,0.514,0.0713,0.0655,131.702,Allegro,183792.0,2467682.0,76769.0,1826.0,False,False
Mitski,Brand New City,Lush,album,49030210.0,0.482,0.829,F,-5.956,0.0587,0.0499,0.0824,0.657,148.119,Allegro,132773.0,3794948.0,75642.0,1437.0,False,False
